StockNo,Date,Open,High,Low,Close,PriceDifference,RiseOrNot
2427,0103/4/29,8.84,9.09,8.84,8.98,0.14,1
2427,0103/4/30,9.05,9.05,8.83,8.83,-0.15,0
2427,0103/5/7,9.17,9.17,8.95,9.03,-0.16,0
2427,0103/5/8,9.06,9.52,9.05,9.44,0.41,1
2427,0103/5/9,9.44,9.44,9.2,9.28,-0.16,0
2427,0103/5/12,9.35,9.35,9.08,9.2,-0.08,0
2427,0103/5/13,9.2,9.31,9.02,9.02,-0.18,0
2427,0103/5/14,9.1,9.11,8.98,9.02,0,0
2427,0103/5/15,9.02,9.18,8.96,9.14,0.12,1
2427,0103/5/16,9.12,9.21,9.02,9.12,-0.02,0
2427,0103/5/19,9.15,9.17,9.07,9.15,0.03,1
2427,0103/5/20,9.15,9.27,9.12,9.19,0.04,1
2427,0103/5/21,9.18,9.19,9.02,9.02,-0.17,0
2427,0103/5/22,9.05,9.33,9.05,9.27,0.25,1
2427,0103/5/23,9.31,9.37,9.22,9.24,-0.03,0
2427,0103/5/26,9.27,9.35,9.1,9.18,-0.06,0
2427,0103/5/27,9.18,9.3,9,9.08,-0.1,0
2427,0103/5/28,9.08,9.18,8.98,9.07,-0.01,0
2427,0103/5/29,9.08,9.13,9.05,9.05,-0.02,0
2427,0103/5/30,9.08,9.12,9,9.03,-0.02,0
2427,0103/6/6,9.1,9.56,9.1,9.45,0.38,1
2427,0103/6/9,9.49,9.88,9.48,9.83,0.38,1
2427,0103/6/10,10.15,10.15,9.86,9.94,0.11,1
2427,0103/6/11,9.8,9.84,9.6,9.6,-0.34,0
2427,0103/6/12,9.52,10,9.51,9.86,0.26,1
2427,0103/6/13,9.75,9.86,9.73,9.73,-0.13,0
2427,0103/6/16,9.8,9.8,9.66,9.67,-0.06,0
2427,0103/6/17,9.67,10.05,9.67,9.83,0.16,1
2427,0103/6/18,9.83,9.83,9.62,9.66,-0.17,0
2427,0103/6/19,9.67,9.8,9.65,9.7,0.04,1
2427,0103/6/20,9.7,9.76,9.57,9.57,-0.13,0
2427,0103/6/23,9.6,9.61,9.25,9.29,-0.28,0
2427,0103/6/24,9.29,9.39,9.28,9.33,0.04,1
2427,0103/6/25,9.35,9.42,9.32,9.34,0.01,1
2427,0103/6/26,9.36,9.43,9.34,9.38,0.04,1
2427,0103/6/27,9.4,9.44,9.32,9.37,-0.01,0
2427,0103/6/30,9.42,9.56,9.35,9.4,0.03,1
2427,0103/7/4,9.3,9.35,9.24,9.32,0.06,1
2427,0103/7/7,9.32,9.49,9.2,9.38,0.06,1
2427,0103/7/8,9.38,9.44,9.26,9.35,-0.03,0
2427,0103/7/9,9.39,9.39,9.27,9.3,-0.05,0
2427,0103/7/10,9.32,9.47,9.32,9.34,0.04,1
2427,0103/7/11,9.56,9.72,9.4,9.51,0.17,1
2427,0103/7/14,9.55,9.58,9.46,9.46,-0.05,0
2427,0103/7/15,9.5,9.68,9.5,9.54,0.08,1
2427,0103/7/16,9.54,9.59,9.49,9.49,-0.05,0
2427,0103/7/17,9.49,10.15,9.49,9.92,0.43,1
2427,0103/7/18,9.7,9.98,9.7,9.8,-0.12,0
2427,0103/7/21,9.83,10.1,9.82,9.84,0.04,1
2427,0103/7/22,9.85,10.25,9.85,10,0.16,1
2427,0103/7/24,10.05,10.1,9.91,9.91,-0.09,0
2427,0103/7/25,9.88,9.98,9.71,9.79,-0.12,0
2427,0103/7/28,9.79,9.92,9.76,9.76,-0.03,0
2427,0103/7/29,9.79,9.88,9.5,9.51,-0.25,0
2427,0103/7/30,9.51,9.67,9.51,9.61,0.1,1
2427,0103/7/31,9.65,9.7,9.54,9.62,0.01,1
2427,0103/8/6,9.46,9.55,9.03,9.19,-0.27,0
2427,0103/8/7,9.54,9.54,9.29,9.3,0.11,1
2427,0103/8/8,9.3,9.36,9.07,9.2,-0.1,0
2427,0103/8/11,9.24,9.32,9.24,9.25,0.05,1
2427,0103/8/12,9.25,9.31,9.18,9.24,-0.01,0
2427,0103/8/13,9.25,9.38,9.24,9.37,0.13,1
2427,0103/8/14,9.4,9.4,9.2,9.2,-0.17,0
2427,0103/8/15,9.21,9.26,9.13,9.18,-0.02,0
2427,0103/8/18,9.18,9.19,8.7,8.79,-0.39,0
2427,0103/8/19,8.81,8.98,8.81,8.92,0.13,1
2427,0103/8/20,9,9,8.82,8.97,0.05,1
2427,0103/8/21,8.98,8.98,8.8,8.85,-0.12,0
2427,0103/8/22,8.9,9.05,8.9,9.04,0.19,1
2427,0103/8/25,9.08,9.09,9,9.08,0.04,1
2427,0103/8/26,9.08,9.12,9.05,9.05,-0.03,0
2427,0103/8/27,9.1,9.18,9.05,9.15,0.1,1
2427,0103/8/28,9.15,9.17,9.05,9.13,-0.02,0
2427,0103/8/29,9.1,9.13,9.1,9.12,-0.01,0
2427,0103/9/4,9.54,9.65,9.2,9.55,0.01,1
2427,0103/9/5,9.55,9.55,9.35,9.38,-0.17,0
2427,0103/9/9,9.45,9.55,9.38,9.42,0.04,1
2427,0103/9/10,9.45,9.45,9.27,9.33,-0.09,0
2427,0103/9/11,9.33,9.39,9.2,9.28,-0.05,0
2427,0103/9/12,9.28,9.28,9.13,9.14,-0.14,0
2427,0103/9/15,9.1,9.14,9.05,9.05,-0.09,0
2427,0103/9/16,9.08,9.1,8.95,8.96,-0.09,0
2427,0103/9/17,9.01,9.1,9.01,9.02,0.06,1
2427,0103/9/18,9.02,9.16,9.02,9.04,0.02,1
2427,0103/9/19,9.15,9.15,9.05,9.07,0.03,1
2427,0103/9/22,9.06,9.12,9.04,9.05,-0.02,0
2427,0103/9/23,9.05,9.14,9.05,9.09,0.04,1
2427,0103/9/24,9.08,9.12,9.05,9.05,-0.04,0
2427,0103/9/25,9.07,9.07,8.84,8.9,-0.15,0
2427,0103/9/26,8.9,8.9,8.65,8.76,-0.14,0
2427,0103/9/29,8.79,8.84,8.7,8.8,0.04,1
2427,0103/9/30,8.82,9,8.69,8.81,0.01,1
2427,0103/10/6,8.88,8.92,8.85,8.89,0.01,1
2427,0103/10/7,8.91,8.91,8.76,8.78,-0.11,0
2427,0103/10/8,8.77,8.78,8.73,8.73,-0.05,0
2427,0103/10/9,8.77,8.83,8.65,8.65,-0.08,0
2427,0103/10/13,8.54,8.54,8.05,8.05,-0.6,0
2427,0103/10/14,8.01,8.01,7.72,7.86,-0.19,0
2427,0103/10/15,7.87,7.92,7.52,7.52,-0.34,0
2427,0103/10/16,7.13,7.36,7,7.25,-0.27,0
2427,0103/10/17,7.3,7.47,7.25,7.26,0.01,1
2427,0103/10/20,7.57,7.57,7.33,7.38,0.12,1
2427,0103/10/21,7.5,7.65,7.5,7.64,0.26,1
2427,0103/10/22,7.67,7.77,7.66,7.66,0.02,1
2427,0103/10/23,7.65,7.66,7.53,7.53,-0.13,0
2427,0103/10/24,7.57,7.65,7.49,7.49,-0.04,0
2427,0103/10/27,7.53,7.56,7.4,7.44,-0.05,0
2427,0103/10/28,7.51,7.61,7.5,7.61,0.17,1
2427,0103/10/29,7.61,7.85,7.61,7.76,0.15,1
2427,0103/10/30,7.73,7.78,7.65,7.71,-0.05,0
2427,0103/10/31,7.73,7.89,7.73,7.85,0.14,1
2427,0103/11/6,7.92,7.94,7.83,7.85,-0.04,0
2427,0103/11/7,7.85,7.97,7.85,7.93,0.08,1
2427,0103/11/10,7.93,8.04,7.93,8.01,0.08,1
2427,0103/11/11,8.12,8.12,7.92,7.93,-0.08,0
2427,0103/11/12,7.93,8.01,7.85,7.98,0.05,1
2427,0103/11/13,7.96,8.08,7.95,8.03,0.05,1
2427,0103/11/14,8.03,8.06,7.97,8.06,0.03,1
2427,0103/11/17,8.01,8.03,7.94,8.03,-0.03,0
2427,0103/11/18,7.94,8.01,7.83,7.99,-0.04,0
2427,0103/11/19,7.99,8.03,7.9,7.99,0,0
2427,0103/11/20,8,8.07,7.89,8.04,0.05,1
2427,0103/11/21,8.1,8.1,7.98,7.98,-0.06,0
2427,0103/11/24,8.03,8.1,7.95,7.95,-0.03,0
2427,0103/11/25,8,8.03,7.96,8,0.05,1
2427,0103/11/26,8.05,8.1,8,8.05,0.05,1
2427,0103/11/27,8.08,8.1,8.01,8.04,-0.01,0
2427,0103/11/28,8,8.04,7.91,8.04,0,0
2427,0103/12/4,8.15,8.21,8.08,8.15,0.03,1
2427,0103/12/5,8.14,8.21,8.1,8.2,0.05,1
2427,0103/12/8,8.22,8.42,8.22,8.4,0.2,1
2427,0103/12/9,8.4,8.4,8.28,8.38,-0.02,0
2427,0103/12/10,8.2,8.47,8.16,8.23,-0.15,0
2427,0103/12/11,8.23,8.29,8.15,8.28,0.05,1
2427,0103/12/12,8.2,8.63,8.2,8.53,0.25,1
2427,0103/12/15,8.5,8.5,8.31,8.36,-0.17,0
2427,0103/12/16,8.38,8.48,8.33,8.47,0.11,1
2427,0103/12/17,8.47,8.63,8.39,8.39,-0.08,0
2427,0103/12/18,8.41,8.52,8.4,8.4,0.01,1
2427,0103/12/19,8.5,8.51,8.37,8.37,-0.03,0
2427,0103/12/22,8.37,8.38,8.29,8.37,0,0
2427,0103/12/23,8.4,8.6,8.33,8.59,0.22,1
2427,0103/12/24,8.58,8.74,8.55,8.67,0.08,1
2427,0103/12/25,8.7,8.7,8.6,8.62,-0.05,0
2427,0103/12/26,8.57,8.68,8.57,8.64,0.02,1
2427,0103/12/27,8.66,8.7,8.59,8.6,-0.04,0
2427,0103/12/29,8.69,8.8,8.65,8.67,0.07,1
2427,0103/12/30,8.79,8.79,8.63,8.72,0.05,1
2427,0103/12/31,8.71,8.71,8.63,8.64,-0.08,0
2427,0104/1/8,8.64,9,8.6,8.8,0.23,1
2427,0104/1/8,8.64,9,8.6,8.8,0.23,1
2427,0104/1/9,8.83,8.92,8.77,8.77,-0.03,0
2427,0104/1/9,8.83,8.92,8.77,8.77,-0.03,0
2427,0104/1/12,9.25,9.25,8.89,8.9,0.13,1
2427,0104/1/12,9.25,9.25,8.89,8.9,0.13,1
2427,0104/1/13,9.1,9.1,8.93,8.97,0.07,1
2427,0104/1/13,9.1,9.1,8.93,8.97,0.07,1
2427,0104/1/14,9,9.23,8.97,9.17,0.2,1
2427,0104/1/14,9,9.23,8.97,9.17,0.2,1
2427,0104/1/15,9.17,9.25,9,9.02,-0.15,0
2427,0104/1/15,9.17,9.25,9,9.02,-0.15,0
2427,0104/1/16,9.03,9.05,8.76,8.76,-0.26,0
2427,0104/1/16,9.03,9.05,8.76,8.76,-0.26,0
2427,0104/1/19,8.8,8.91,8.8,8.81,0.05,1
2427,0104/1/19,8.8,8.91,8.8,8.81,0.05,1
2427,0104/1/20,8.86,9.42,8.77,9.42,0.61,1
2427,0104/1/20,8.86,9.42,8.77,9.42,0.61,1
2427,0104/1/21,9.5,9.51,9.2,9.22,-0.2,0
2427,0104/1/21,9.5,9.51,9.2,9.22,-0.2,0
2427,0104/1/22,9.3,9.3,9.13,9.18,-0.04,0
2427,0104/1/22,9.3,9.3,9.13,9.18,-0.04,0
2427,0104/1/23,9.23,9.45,9.17,9.23,0.05,1
2427,0104/1/23,9.23,9.45,9.17,9.23,0.05,1
2427,0104/1/26,9.23,9.29,9.14,9.15,-0.08,0
2427,0104/1/26,9.23,9.29,9.14,9.15,-0.08,0
2427,0104/1/27,9.16,9.23,9.08,9.09,-0.06,0
2427,0104/1/27,9.16,9.23,9.08,9.09,-0.06,0
2427,0104/1/28,9.02,9.13,9.01,9.12,0.03,1
2427,0104/1/28,9.02,9.13,9.01,9.12,0.03,1
2427,0104/1/29,9.12,9.14,9.03,9.12,0,0
2427,0104/1/29,9.12,9.14,9.03,9.12,0,0
2427,0104/1/30,9.15,9.15,9.02,9.02,-0.1,0
2427,0104/1/30,9.15,9.15,9.02,9.02,-0.1,0
2427,0104/2/5,8.9,8.9,8.8,8.82,-0.08,0
2427,0104/2/6,8.85,8.94,8.82,8.82,0,0
2427,0104/2/9,8.82,8.82,8.62,8.65,-0.17,0
2427,0104/2/10,8.75,8.75,8.64,8.65,0,0
2427,0104/2/11,8.7,8.8,8.7,8.71,0.06,1
2427,0104/2/12,8.75,8.75,8.66,8.68,-0.03,0
2427,0104/2/13,8.72,8.75,8.6,8.62,-0.06,0
2427,0104/2/24,8.74,8.74,8.65,8.65,0.03,1
2427,0104/2/25,8.69,8.73,8.65,8.7,0.05,1
2427,0104/2/26,8.7,8.9,8.67,8.87,0.17,1
2427,0104/3/5,8.83,8.93,8.82,8.93,0.11,1
2427,0104/3/6,8.96,8.96,8.89,8.9,-0.03,0
2427,0104/3/9,8.9,8.9,8.75,8.84,-0.06,0
2427,0104/3/10,9,9.3,8.99,9.1,0.26,1
2427,0104/3/11,9.01,9.1,8.93,9,-0.1,0
2427,0104/3/12,9.05,9.1,8.97,9.01,0.01,1
2427,0104/3/13,9.01,9.12,9.01,9.02,0.01,1
2427,0104/3/16,9.02,9.22,9.02,9.13,0.11,1
2427,0104/3/17,9.21,9.21,9.05,9.05,-0.08,0
2427,0104/3/18,9.19,9.19,9.01,9.11,0.06,1
2427,0104/3/19,9.11,9.31,9.11,9.29,0.18,1
2427,0104/3/20,9.3,9.45,9.25,9.25,-0.04,0
2427,0104/3/23,9.2,9.2,9.1,9.11,-0.14,0
2427,0104/3/24,9.11,9.11,9.03,9.04,-0.07,0
2427,0104/3/25,9.07,9.1,9.03,9.05,0.01,1
2427,0104/3/26,9,9.12,8.97,9.07,0.02,1
2427,0104/3/27,9.07,9.12,8.9,8.92,-0.15,0
2427,0104/3/30,8.92,8.96,8.82,8.92,0,0
2427,0104/3/31,9,9.15,8.92,8.93,0.01,1
2427,0104/4/8,8.9,8.96,8.9,8.91,0.04,1
2427,0104/4/9,8.98,9.08,8.91,8.93,0.02,1
2427,0104/4/10,8.86,8.88,8.52,8.56,-0.37,0
2427,0104/4/13,8.56,8.66,8.53,8.65,0.09,1
2427,0104/4/14,8.64,8.71,8.61,8.7,0.05,1
2427,0104/4/15,8.7,8.71,8.47,8.65,-0.05,0
2427,0104/4/16,8.66,8.85,8.58,8.85,0.2,1
2427,0104/4/17,8.8,8.85,8.75,8.82,-0.03,0
2427,0104/4/20,8.7,8.75,8.69,8.75,-0.07,0
2427,0104/4/21,8.82,8.82,8.65,8.72,-0.03,0
2427,0104/4/22,8.78,8.88,8.7,8.78,0.06,1
2427,0104/4/23,8.76,8.96,8.76,8.94,0.16,1
2427,0104/4/24,8.94,9.01,8.87,8.96,0.02,1
2427,0104/4/27,8.97,9.01,8.82,8.91,-0.05,0
2427,0104/4/28,8.93,8.93,8.79,8.86,-0.05,0
2427,0104/4/29,8.87,8.92,8.78,8.82,-0.04,0
2427,0104/4/30,8.9,8.91,8.81,8.85,0.03,1
2427,0104/5/7,8.75,8.8,8.63,8.75,0,0
2427,0104/5/8,8.8,8.8,8.64,8.71,-0.04,0
2427,0104/5/11,8.8,8.8,8.46,8.56,-0.15,0
2427,0104/5/12,8.55,8.6,8.46,8.55,-0.01,0
2427,0104/5/13,8.58,8.7,8.58,8.67,0.12,1
2427,0104/5/14,8.64,8.67,8.56,8.67,0,0
2427,0104/5/15,8.5,8.6,8.43,8.5,-0.17,0
2427,0104/5/18,8.45,8.46,8.3,8.36,-0.14,0
2427,0104/5/19,8.37,8.42,8.17,8.28,-0.08,0
2427,0104/5/20,8.32,8.37,8.17,8.21,-0.07,0
2427,0104/5/21,8.21,8.21,8.06,8.09,-0.12,0
2427,0104/5/22,8.09,8.13,8.02,8.02,-0.07,0
2427,0104/5/25,8.05,8.09,8.03,8.03,0.01,1
2427,0104/5/26,8.09,8.09,8,8.07,0.04,1
2427,0104/5/27,8.06,8.12,8.01,8.05,-0.02,0
2427,0104/5/28,8.15,8.15,8.09,8.12,0.07,1
2427,0104/5/29,8.14,8.18,8.06,8.09,-0.03,0
2427,0104/6/4,8.1,8.1,7.65,7.71,-0.35,0
2427,0104/6/5,7.71,7.78,7.6,7.64,-0.07,0
2427,0104/6/8,7.64,7.69,7.6,7.62,-0.02,0
2427,0104/6/9,7.6,7.6,7,7,-0.62,0
2427,0104/6/10,7,7.49,7,7.15,0.15,1
2427,0104/6/11,7.16,7.22,7.12,7.12,-0.03,0
2427,0104/6/12,7.01,7.15,7.01,7.11,-0.01,0
2427,0104/6/15,7.17,7.18,7.05,7.08,-0.03,0
2427,0104/6/16,7.09,7.14,7.05,7.06,-0.02,0
2427,0104/6/17,7.06,7.13,7.02,7.06,0,0
2427,0104/6/18,7.12,7.16,7.11,7.15,0.09,1
2427,0104/6/22,7.2,7.31,7.2,7.31,0.16,1
2427,0104/6/23,7.36,7.38,7.25,7.31,0,0
2427,0104/6/24,7.38,7.38,7.25,7.25,-0.06,0
2427,0104/6/25,7.26,7.35,7.26,7.32,0.07,1
2427,0104/6/26,7.38,7.38,7.27,7.34,0.02,1
2427,0104/6/29,7.04,7.33,7.04,7.06,-0.28,0
2427,0104/6/30,7.08,7.15,7.04,7.11,0.05,1
2427,0104/7/6,7.16,7.23,7.13,7.23,0.01,1
2427,0104/7/7,7.23,7.31,7.16,7.16,-0.07,0
2427,0104/7/8,7.24,7.24,6.93,6.93,-0.23,0
2427,0104/7/9,6.93,7.1,6.88,7.02,0.09,1
2427,0104/7/13,7.12,7.12,7.05,7.09,0.07,1
2427,0104/7/14,7.1,7.12,7.08,7.08,-0.01,0
2427,0104/7/15,7.1,7.1,6.96,7,-0.08,0
2427,0104/7/16,6.76,6.89,6.76,6.85,X0.00,1
2427,0104/7/17,6.88,6.92,6.79,6.84,-0.01,0
2427,0104/7/20,6.91,6.97,6.78,6.78,-0.06,0
2427,0104/7/21,6.8,6.94,6.7,6.8,0.02,1
2427,0104/7/22,6.8,6.85,6.68,6.7,-0.1,0
2427,0104/7/23,6.75,6.75,6.6,6.69,-0.01,0
2427,0104/7/24,6.7,6.7,6.53,6.56,-0.13,0
2427,0104/7/27,6.56,6.56,6.1,6.17,-0.39,0
2427,0104/7/28,6.17,6.27,6.11,6.15,-0.02,0
2427,0104/7/29,6.16,6.18,6.13,6.18,0.03,1
2427,0104/7/30,6.09,6.31,6.09,6.25,0.07,1
2427,0104/7/31,6.3,6.3,6.12,6.19,-0.06,0
2427,0104/8/6,5.94,6.05,5.8,5.88,-0.07,0
2427,0104/8/7,5.88,6,5.86,5.97,0.09,1
2427,0104/8/10,5.99,6.15,5.9,6.12,0.15,1
2427,0104/8/11,6.17,6.18,6.02,6.03,-0.09,0
2427,0104/8/12,6.1,6.1,6,6.01,-0.02,0
2427,0104/8/13,6.09,6.09,5.98,6.02,0.01,1
2427,0104/8/14,6.01,6.1,6.01,6.09,0.07,1
2427,0104/8/17,6.12,6.12,6.02,6.08,-0.01,0
2427,0104/8/18,6.09,6.09,5.91,6,-0.08,0
2427,0104/8/19,6.07,6.07,5.71,5.73,-0.27,0
2427,0104/8/20,5.79,5.94,5.73,5.85,0.12,1
2427,0104/8/21,5.82,5.82,5.51,5.52,-0.33,0
2427,0104/8/24,5.45,5.45,4.97,4.97,-0.55,0
2427,0104/8/25,4.63,5.12,4.63,5.07,0.1,1
2427,0104/8/26,5.06,5.29,5,5.29,0.22,1
2427,0104/8/27,5.34,5.37,5.2,5.37,0.08,1
2427,0104/8/28,5.4,5.6,5.4,5.51,0.14,1
2427,0104/8/31,5.53,5.58,5.49,5.57,0.06,1
2427,0104/9/4,5.88,5.88,5.67,5.67,-0.14,0
2427,0104/9/7,5.66,5.8,5.64,5.68,0.01,1
2427,0104/9/8,5.76,5.76,5.68,5.68,0,0
2427,0104/9/9,5.94,5.99,5.8,5.98,0.3,1
2427,0104/9/10,5.92,5.97,5.85,5.91,-0.07,0
2427,0104/9/11,5.94,6.05,5.88,6.02,0.11,1
2427,0104/9/14,6.02,6.07,5.9,5.93,-0.09,0
2427,0104/9/15,5.7,5.88,5.7,5.86,-0.07,0
2427,0104/9/16,5.87,5.96,5.82,5.95,0.09,1
2427,0104/9/17,6.05,6.07,5.98,6.03,0.08,1
2427,0104/9/18,6.03,6.33,5.96,6.33,0.3,1
2427,0104/9/21,6.2,6.2,5.95,6.09,-0.24,0
2427,0104/9/22,6.17,6.17,6.1,6.11,0.02,1
2427,0104/9/23,6.02,6.07,6,6.03,-0.08,0
2427,0104/9/24,6.03,6.08,5.92,5.92,-0.11,0
2427,0104/9/25,6.04,6.04,5.93,5.97,0.05,1
2427,0104/9/30,5.86,6.04,5.86,5.9,-0.07,0
2427,0104/10/6,6.1,6.2,6.03,6.03,0.03,1
2427,0104/10/7,6.09,6.6,6.05,6.6,0.57,1
2427,0104/10/8,6.85,6.87,6.45,6.5,-0.1,0
2427,0104/10/12,6.59,6.6,6.46,6.46,-0.04,0
2427,0104/10/13,6.46,6.52,6.36,6.38,-0.08,0
2427,0104/10/14,6.45,6.45,6.32,6.38,0,0
2427,0104/10/15,6.42,6.55,6.38,6.42,0.04,1
2427,0104/10/16,6.58,6.58,6.47,6.51,0.09,1
2427,0104/10/19,6.55,6.57,6.41,6.46,-0.05,0
2427,0104/10/20,6.55,6.55,6.48,6.48,0.02,1
2427,0104/10/21,6.5,6.67,6.5,6.61,0.13,1
2427,0104/10/22,6.6,6.62,6.55,6.61,0,0
2427,0104/10/23,6.68,6.7,6.61,6.65,0.04,1
2427,0104/10/26,6.73,6.95,6.68,6.86,0.21,1
2427,0104/10/27,6.85,6.93,6.69,6.93,0.07,1
2427,0104/10/28,6.95,7,6.82,6.82,-0.11,0
2427,0104/10/29,6.84,6.88,6.63,6.66,-0.16,0
2427,0104/10/30,6.7,6.7,6.52,6.63,-0.03,0
2427,0104/11/5,6.88,6.88,6.77,6.82,0.03,1
2427,0104/11/6,6.82,6.85,6.75,6.75,-0.07,0
2427,0104/11/9,6.8,6.8,6.61,6.65,-0.1,0
2427,0104/11/10,6.65,6.67,6.56,6.64,-0.01,0
2427,0104/11/11,6.72,6.72,6.48,6.48,-0.16,0
2427,0104/11/12,6.5,6.57,6.4,6.48,0,0
2427,0104/11/13,6.5,6.5,6.4,6.44,-0.04,0
2427,0104/11/16,6.43,6.43,6.25,6.39,-0.05,0
2427,0104/11/17,6.65,6.65,6.5,6.52,0.13,1
2427,0104/11/18,6.5,6.5,6.41,6.45,-0.07,0
2427,0104/11/19,6.42,6.49,6.35,6.46,0.01,1
2427,0104/11/20,6.48,6.48,6.36,6.36,-0.1,0
2427,0104/11/23,6.5,6.5,6.3,6.31,-0.05,0
2427,0104/11/24,6.31,6.4,6.21,6.25,-0.06,0
2427,0104/11/25,6.26,6.26,6.13,6.15,-0.1,0
2427,0104/11/26,6.2,6.37,6.16,6.19,0.04,1
2427,0104/11/27,6.2,6.28,6.16,6.17,-0.02,0
2427,0104/11/30,6.16,6.16,6.07,6.08,-0.09,0
2427,0104/12/4,6.2,6.23,6.14,6.16,-0.05,0
2427,0104/12/7,6.22,6.29,6.2,6.24,0.08,1
2427,0104/12/8,6.23,6.23,6.11,6.16,-0.08,0
2427,0104/12/9,6.16,6.21,6.07,6.09,-0.07,0
2427,0104/12/10,6.45,6.45,6.26,6.29,0.2,1
2427,0104/12/11,6.41,6.43,6.29,6.33,0.04,1
2427,0104/12/14,6.3,6.6,6.3,6.54,0.21,1
2427,0104/12/15,6.7,6.85,6.55,6.63,0.09,1
2427,0104/12/16,6.66,6.73,6.61,6.7,0.07,1
2427,0104/12/17,6.71,6.8,6.65,6.7,0,0
2427,0104/12/18,6.82,6.82,6.56,6.56,-0.14,0
2427,0104/12/21,6.5,6.64,6.46,6.59,0.03,1
2427,0104/12/22,6.6,6.6,6.46,6.46,-0.13,0
2427,0104/12/23,6.42,6.51,6.42,6.47,0.01,1
2427,0104/12/24,6.48,6.5,6.41,6.45,-0.02,0
